2025-12-13 18:44:14 | INFO | train_base_models | [Categorical_Flags] ▶ Training model: RandomForest
2025-12-13 18:44:16 | INFO | train_base_models | [Categorical_Flags] [RandomForest] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Categorical_Flags_RandomForest_fold1.pkl
2025-12-13 18:44:18 | INFO | train_base_models | [Categorical_Flags] [RandomForest] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Categorical_Flags_RandomForest_fold2.pkl
2025-12-13 18:44:20 | INFO | train_base_models | [Categorical_Flags] [RandomForest] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Categorical_Flags_RandomForest_fold3.pkl
2025-12-13 18:44:22 | INFO | train_base_models | [Categorical_Flags] [RandomForest] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Categorical_Flags_RandomForest_fold4.pkl
2025-12-13 18:44:24 | INFO | train_base_models | [Categorical_Flags] [RandomForest] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Categorical_Flags_RandomForest_fold5.pkl
2025-12-13 18:44:24 | INFO | train_base_models | [Categorical_Flags] [RandomForest] FINAL OOF AUC = 0.7239
2025-12-13 18:44:24 | INFO | train_base_models | [Categorical_Flags] ▶ Training model: LightGBM
2025-12-13 18:44:25 | INFO | train_base_models | [Categorical_Flags] [LightGBM] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Categorical_Flags_LightGBM_fold1.pkl
2025-12-13 18:44:26 | INFO | train_base_models | [Categorical_Flags] [LightGBM] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Categorical_Flags_LightGBM_fold2.pkl
2025-12-13 18:44:27 | INFO | train_base_models | [Categorical_Flags] [LightGBM] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Categorical_Flags_LightGBM_fold3.pkl
2025-12-13 18:44:27 | INFO | train_base_models | [Categorical_Flags] [LightGBM] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Categorical_Flags_LightGBM_fold4.pkl
2025-12-13 18:44:28 | INFO | train_base_models | [Categorical_Flags] [LightGBM] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Categorical_Flags_LightGBM_fold5.pkl
2025-12-13 18:44:28 | INFO | train_base_models | [Categorical_Flags] [LightGBM] FINAL OOF AUC = 0.7251
2025-12-13 18:44:30 | INFO | train_base_models | Saved OOF predictions to /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/oof/oof_predictions_all_models.csv
2025-12-13 18:44:30 | INFO | train_base_models | [Loan_Terms] Top-3 models: [('LightGBM', np.float64(0.7030469965676726)), ('XGBoost', np.float64(0.7005808176164438)), ('GBDT', np.float64(0.6967468037780831))]
2025-12-13 18:44:30 | INFO | train_base_models | [Credit_Profile] Top-3 models: [('XGBoost', np.float64(0.6302144291129894)), ('GBDT', np.float64(0.6293836648968381)), ('LightGBM', np.float64(0.629246424855672))]
2025-12-13 18:44:30 | INFO | train_base_models | [Utilization_and_Activity] Top-3 models: [('LightGBM', np.float64(0.6533225796613814)), ('XGBoost', np.float64(0.6531859191977593)), ('GBDT', np.float64(0.650920980087608))]
2025-12-13 18:44:30 | INFO | train_base_models | [Categorical_Flags] Top-3 models: [('XGBoost', np.float64(0.7256243830843225)), ('GBDT', np.float64(0.725375723154092)), ('LightGBM', np.float64(0.7250966753483901))]
2025-12-13 18:44:30 | INFO | train_base_models | Saved top_models dict to /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/oof/top_models_per_group.pkl
2025-12-13 18:44:32 | INFO | train_base_models | Saved meta_train (top models) to /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/oof/meta_train_top_models.csv, shape=(180488, 13)
2025-12-13 18:44:32 | INFO | train_base_models | ✅ Base model training completed successfully.
